gene,in_GSE78220,in_GSE91061,present_in_both
ARHGAP44,TRUE,TRUE,TRUE
ATF3,TRUE,TRUE,TRUE
BCL2L2,TRUE,TRUE,TRUE
CRNKL1,TRUE,TRUE,TRUE
CYSLTR2,TRUE,TRUE,TRUE
DAXX,TRUE,TRUE,TRUE
EBLN2,TRUE,TRUE,TRUE
GABRE,TRUE,TRUE,TRUE
HTATSF1,TRUE,TRUE,TRUE
KEL,TRUE,TRUE,TRUE
LRRC40,TRUE,TRUE,TRUE
MEG3,TRUE,TRUE,TRUE
MEG8,TRUE,TRUE,TRUE
MIR3609,TRUE,TRUE,TRUE
RNU6ATAC,TRUE,TRUE,TRUE
SNORA37,TRUE,TRUE,TRUE
SNORA53,TRUE,TRUE,TRUE
TXNDC9,TRUE,TRUE,TRUE
VMP1,TRUE,TRUE,TRUE
ZFP36,TRUE,TRUE,TRUE
ATP5ME,FALSE,TRUE,FALSE
DEPP1,FALSE,TRUE,FALSE
RN7SKP255,FALSE,FALSE,FALSE
RN7SKP79,FALSE,FALSE,FALSE
RN7SL600P,FALSE,FALSE,FALSE
RNA5S9,FALSE,FALSE,FALSE
RNY3,FALSE,FALSE,FALSE
SNORA73B,FALSE,FALSE,FALSE
SNORD3C,FALSE,FALSE,FALSE
