"gene","n_folds_selected"
"CYSLTR2",5
"GABRE",5
"LRRC40",5
"MEG3",5
"MEG8",5
"MIR3609",5
"RN7SKP255",5
"RN7SL600P",5
"RNU6ATAC",5
"SNORA37",5
"SNORA53",5
"SNORD3C",5
"VMP1",5
"ARHGAP44",4
"ATF3",4
"ATP5ME",4
"BCL2L2",4
"CRNKL1",4
"DAXX",4
"DEPP1",4
"EBLN2",4
"HTATSF1",4
"KEL",4
"RN7SKP79",4
"RNA5S9",4
"RNY3",4
"SNORA73B",4
"TXNDC9",4
"ZFP36",4
"ABCF1",3
"CDK4",3
"CEP89",3
"DCAF8",3
"DDX49",3
"H2BC12",3
"H2BC13",3
"HNRNPM",3
"IL1RN",3
"ITGA8",3
"MAPK10",3
"NELFE",3
"PRPF31",3
"PRPF6",3
"PSMD8",3
"RIPOR3",3
"RNY4",3
"SDHAF1",3
"SIK1B",3
"SLC7A11",3
"SNORA49",3
"SNORA74A",3
"SRSF1",3
"STAG3L5P",3
"XAB2",3
"ADGRF5",2
"AIP",2
"ASTN2",2
"BTBD19",2
"CARMN",2
"CERS5",2
"CHMP2A",2
"COL13A1",2
"COPS3",2
"COX5B",2
"CUEDC2",2
"GCNT1P3",2
"GGH",2
"GGT5",2
"GIPR",2
"H2AC12",2
"H2BC11",2
"H4C2",2
"H4C3",2
"H4C5",2
"HNRNPUL1",2
"IL1B",2
"ILF2",2
"ITM2B",2
"KANSL1",2
"LMNB2",2
"MRVI1",2
"MSH6",2
"MTND4P14",2
"MZT2B",2
"NADK2",2
"NDUFV2",2
"NEBL",2
"NPTN-IT1",2
"PDHB",2
"PEMT",2
"PEPD",2
"PLXDC1",2
"POC1B",2
"PRKCSH",2
"PRPF8",2
"PSMD4",2
"RN7SKP48",2
"RNF138",2
"RPS19",2
"RRP9",2
"SLC9A3",2
"SNORA22",2
"SNORA38B",2
"SNORA74B",2
"SNORD15B",2
"SNORD3A",2
"SOX4",2
"SPDYA",2
"TTC39B",2
"VPS72",2
"WSB1",2
"ZNF100",2
"AACS",1
"AAMP",1
"ACAD11",1
"AMFR",1
"AOC3",1
"APMAP",1
"APOLD1",1
"AQP1",1
"ATP5F1E",1
"AURKAIP1",1
"BANF1",1
"BBOF1",1
"BCOR",1
"BECN1",1
"BLM",1
"BLOC1S4",1
"BLVRA",1
"BMS1",1
"C1QBP",1
"CALM3",1
"CATSPERE",1
"CCDC138",1
"CCDC144CP",1
"CCDC146",1
"CCDC84",1
"CCT2",1
"CCT7",1
"CDH23",1
"CEP72",1
"CIAO2B",1
"CNPY3",1
"COMMD8",1
"COQ6",1
"CSF3R",1
"CTNNBL1",1
"CXCL8",1
"DDRGK1",1
"DDX39A",1
"DDX41",1
"DLG2",1
"DPYSL4",1
"DTX2P1-UPK3BP1-PMS2P11",1
"ECHS1",1
"EEF1A1P22",1
"EGFL7",1
"ERGIC3",1
"ESF1",1
"FAM160A2",1
"FAM219A",1
"FAM222B",1
"FAM227B",1
"FBL",1
"FGL2",1
"FOS",1
"FRMD4B",1
"FSTL3",1
"FTSJ3",1
"GAD1",1
"GEM",1
"GPN3",1
"GVQW3",1
"H2BC17",1
"H2BC20P",1
"H2BC4",1
"HSD17B1",1
"HSPA2",1
"HSPE1P26",1
"IDH3B",1
"IGF2",1
"IGHV3-21",1
"IGLV1-51",1
"INE1",1
"ING4",1
"INHBB",1
"IRX6",1
"KARS1",1
"KIF5C",1
"LAMP3",1
"LINC02614",1
"LMLN",1
"LRP3",1
"LUC7L2",1
"LUCAT1",1
"MAGED2",1
"MALAT1",1
"MAPKAPK5-AS1",1
"MAZ",1
"MED12L",1
"MED15",1
"MED30",1
"MFSD4B",1
"MMUT",1
"MPZL2",1
"MTND1P23",1
"MUC1",1
"NCL",1
"NDUFB11",1
"NDUFB7",1
"NDUFB9",1
"NDUFC2",1
"NEB",1
"NFKBIZ",1
"NOSTRIN",1
"NOTCH4",1
"NPNT",1
"NPTXR",1
"NT5DC2",1
"NT5DC3",1
"OLFML1",1
"PBDC1",1
"PDIA6",1
"PHYKPL",1
"PIBF1",1
"PIMREG",1
"PKHD1",1
"POLE3",1
"POLR1C",1
"POLR2I",1
"PPM1G",1
"PTGES2",1
"RAC3",1
"RBM15B",1
"RHOA-IT1",1
"RN7SKP230",1
"RN7SKP80",1
"RN7SL128P",1
"RN7SL329P",1
"RN7SL517P",1
"RN7SL648P",1
"RNASEH2A",1
"RNU5A-1",1
"RNVU1-28",1
"RPA3",1
"RPN2",1
"RREB1",1
"RUVBL2",1
"SACS",1
"SCG2",1
"SEC23B",1
"SGPP1",1
"SLC25A11",1
"SLC6A1",1
"SNAPC3",1
"SNORA12",1
"SNORA13",1
"SNORA38",1
"SNORA65",1
"SNORA80D",1
"SNORD67",1
"SNRNP200",1
"SNRPB2",1
"SORCS2",1
"SPCS1",1
"SRPX2",1
"SRSF2",1
"SUPT7L",1
"SYTL2",1
"TBCB",1
"TDO2",1
"TFPT",1
"THAP11",1
"THAP12",1
"TK1",1
"TM9SF2",1
"TMEM223",1
"TP53",1
"TRAM1",1
"TREM1",1
"TRMT6",1
"TTLL3",1
"TUFM",1
"UBE2D1",1
"UBE2G1",1
"UQCRC1",1
"VPS16",1
"VSIG10",1
"ZNF253",1
"ZNF410",1
"ZNF431",1
"ZNF862",1
