"gene","n_folds_selected","signature_size"
"CYSLTR2",5,50
"GABRE",5,50
"MEG8",5,50
"MIR3609",5,50
"RN7SL600P",5,50
"RNU6ATAC",5,50
"SNORA53",5,50
"VMP1",5,50
"DEPP1",4,50
"KEL",4,50
"MEG3",4,50
"RNA5S9",4,50
"RNY3",4,50
"SNORA37",4,50
"SNORD3C",4,50
"CRNKL1",3,50
"EBLN2",3,50
"IL1RN",3,50
"LRRC40",3,50
"RIPOR3",3,50
"RN7SKP255",3,50
"RN7SKP79",3,50
"ZFP36",3,50
"ABCF1",2,50
"BCL2L2",2,50
"CARMN",2,50
"COX5B",2,50
"CUEDC2",2,50
"DAXX",2,50
"H2AC12",2,50
"H2BC12",2,50
"H4C5",2,50
"HNRNPM",2,50
"NADK2",2,50
"PLXDC1",2,50
"PRPF31",2,50
"PRPF6",2,50
"PSMD8",2,50
"RN7SKP48",2,50
"RNF138",2,50
"SDHAF1",2,50
"SLC9A3",2,50
"SNORA49",2,50
"SNORA73B",2,50
"TXNDC9",2,50
"WSB1",2,50
"ZNF100",2,50
"ADGRF5",1,50
"AIP",1,50
"AOC3",1,50
"AQP1",1,50
"ARHGAP44",1,50
"ASTN2",1,50
"ATP5ME",1,50
"AURKAIP1",1,50
"BMS1",1,50
"BTBD19",1,50
"CDH23",1,50
"CDK4",1,50
"CEP89",1,50
"CERS5",1,50
"CIAO2B",1,50
"CNPY3",1,50
"COL13A1",1,50
"COMMD8",1,50
"COPS3",1,50
"CXCL8",1,50
"DCAF8",1,50
"DDRGK1",1,50
"DDX49",1,50
"DLG2",1,50
"ECHS1",1,50
"EEF1A1P22",1,50
"EGFL7",1,50
"ESF1",1,50
"FAM222B",1,50
"FBL",1,50
"FGL2",1,50
"GCNT1P3",1,50
"GGH",1,50
"GGT5",1,50
"GPN3",1,50
"H2BC11",1,50
"H2BC13",1,50
"H4C2",1,50
"H4C3",1,50
"HSD17B1",1,50
"HSPE1P26",1,50
"HTATSF1",1,50
"IL1B",1,50
"ITM2B",1,50
"KANSL1",1,50
"KIF5C",1,50
"LMLN",1,50
"MALAT1",1,50
"MAPK10",1,50
"MED30",1,50
"MFSD4B",1,50
"MPZL2",1,50
"MRVI1",1,50
"MTND1P23",1,50
"MUC1",1,50
"MZT2B",1,50
"NDUFB11",1,50
"NDUFB7",1,50
"NDUFC2",1,50
"NDUFV2",1,50
"NEBL",1,50
"NELFE",1,50
"NOSTRIN",1,50
"NOTCH4",1,50
"NPNT",1,50
"NPTN-IT1",1,50
"NT5DC2",1,50
"NT5DC3",1,50
"PDHB",1,50
"PEMT",1,50
"PIBF1",1,50
"PKHD1",1,50
"POLR1C",1,50
"PRKCSH",1,50
"RBM15B",1,50
"RN7SL128P",1,50
"RNASEH2A",1,50
"RNY4",1,50
"RRP9",1,50
"RUVBL2",1,50
"SCG2",1,50
"SEC23B",1,50
"SIK1B",1,50
"SLC25A11",1,50
"SLC6A1",1,50
"SLC7A11",1,50
"SNORA38B",1,50
"SNORA74A",1,50
"SNORA74B",1,50
"SNORA80D",1,50
"SNORD15B",1,50
"SNORD3A",1,50
"SNORD67",1,50
"SNRPB2",1,50
"SOX4",1,50
"SPDYA",1,50
"SRSF1",1,50
"SRSF2",1,50
"STAG3L5P",1,50
"TBCB",1,50
"TDO2",1,50
"THAP11",1,50
"THAP12",1,50
"TMEM223",1,50
"TRMT6",1,50
"TTLL3",1,50
"XAB2",1,50
"ZNF253",1,50
"ZNF410",1,50
"ZNF431",1,50
