"signature_size","fold","Accuracy","Kappa","Sensitivity","Specificity","Balanced_Accuracy","AUC"
50,1,0.733333333333333,0.464285714285714,0.75,0.714285714285714,0.732142857142857,0.892857142857143
50,2,0.6,0.210526315789474,0.5,0.714285714285714,0.607142857142857,0.535714285714286
50,3,0.666666666666667,0.347826086956522,0.857142857142857,0.5,0.678571428571429,0.892857142857143
50,4,0.714285714285714,0.428571428571429,0.857142857142857,0.571428571428571,0.714285714285714,0.857142857142857
50,5,0.857142857142857,0.714285714285714,0.714285714285714,1,0.857142857142857,0.938775510204082
100,1,0.733333333333333,0.464285714285714,0.75,0.714285714285714,0.732142857142857,0.928571428571429
100,2,0.666666666666667,0.347826086956522,0.5,0.857142857142857,0.678571428571429,0.517857142857143
100,3,0.8,0.608695652173913,1,0.625,0.8125,1
100,4,0.714285714285714,0.428571428571429,0.857142857142857,0.571428571428571,0.714285714285714,0.857142857142857
100,5,0.928571428571429,0.857142857142857,1,0.857142857142857,0.928571428571429,1
250,1,0.8,0.601769911504425,0.75,0.857142857142857,0.803571428571429,0.946428571428571
250,2,0.6,0.210526315789474,0.5,0.714285714285714,0.607142857142857,0.517857142857143
250,3,0.8,0.608695652173913,1,0.625,0.8125,0.946428571428571
250,4,0.714285714285714,0.428571428571429,0.857142857142857,0.571428571428571,0.714285714285714,0.857142857142857
250,5,1,1,1,1,1,1
500,1,0.866666666666667,0.732142857142857,0.875,0.857142857142857,0.866071428571429,0.946428571428571
500,2,0.6,0.210526315789474,0.5,0.714285714285714,0.607142857142857,0.553571428571428
500,3,0.733333333333333,0.482758620689655,1,0.5,0.75,0.928571428571429
500,4,0.714285714285714,0.428571428571429,0.857142857142857,0.571428571428571,0.714285714285714,0.795918367346939
500,5,1,1,1,1,1,1
